"n_anchors","method","anchors","batch_var_before","batch_var_after","bio_var_before","bio_var_after","knn_jaccard","hvg_overlap","rmse_before","rmse_after","ari","batch_delta","bio_delta","rmse_delta"
2,"shift","C9,D12",0.100496524575341,0.0440763515958235,0.725033020892722,0.7576637852577,0.962097998619738,0.98609731876862,0.573950156828005,0.269399571421837,0.878048780487805,-0.056420172979518,0.0326307643649781,-0.304550585406168
2,"ridge","C9,D12",0.100496524575341,0.0833259003834091,0.725033020892722,0.734261112016349,0.993650793650794,0.998001998001998,0.573950156828005,0.528819808816505,1,-0.0171706241919323,0.00922809112362732,-0.0451303480114995
2,"combat","C9,D12",0.100496524575341,0.0310406528790696,0.725033020892722,0.764217502942765,0.963780663780664,0.98609731876862,0.573950156828005,0.309046623573066,0.878048780487805,-0.0694558716962718,0.0391844820500428,-0.264903533254939
2,"combatseq","C9,D12",0.100496524575341,0.00303448287142943,0.725033020892722,0.425783075108242,0.850178806700546,0.954079140205178,0.573950156828005,0.236933775737343,0.831923753917486,-0.097462041703912,-0.29924994578448,-0.337016381090662
3,"shift","C9,D12,C8",0.100496524575341,0.0737473601027111,0.725033020892722,0.741863738588667,0.956507936507937,0.985111662531017,0.656993266810791,0.28589177788165,0.878048780487805,-0.0267491644726304,0.0168307176959448,-0.371101488929141
3,"ridge","C9,D12,C8",0.100496524575341,0.049830363834391,0.725033020892722,0.755004571481514,0.968447204968944,0.988071570576541,0.656993266810791,0.361868232595336,0.878048780487805,-0.0506661607409505,0.029971550588792,-0.295125034215455
3,"combat","C9,D12,C8",0.100496524575341,0.0474400029931739,0.725033020892722,0.755929902432663,0.968447204968944,0.98609731876862,0.656993266810791,0.327462288236562,0.878048780487805,-0.0530565215821676,0.0308968815399412,-0.329530978574228
3,"combatseq","C9,D12,C8",0.100496524575341,0.0150871238430204,0.725033020892722,0.755424598990991,0.926462426462426,0.976284584980237,0.656993266810791,0.332613705296092,0.831923753917486,-0.0854094007323211,0.0303915780982684,-0.324379561514699
5,"shift","C9,D12,C8,C11,C4",0.100496524575341,0.045517225016466,0.725033020892722,0.757395967504005,0.95968253968254,0.984126984126984,0.593854850742946,0.288965213162924,0.878048780487805,-0.0549792995588755,0.0323629466112824,-0.304889637580022
5,"ridge","C9,D12,C8,C11,C4",0.100496524575341,0.0361511469496338,0.725033020892722,0.762240779980695,0.965272601794341,0.985111662531017,0.593854850742946,0.303971770883803,0.878048780487805,-0.0643453776257076,0.0372077590879727,-0.289883079859143
5,"combat","C9,D12,C8,C11,C4",0.100496524575341,0.0331490924972317,0.725033020892722,0.763548039460341,0.962097998619738,0.98609731876862,0.593854850742946,0.297527951167332,0.878048780487805,-0.0673474320781097,0.0385150185676187,-0.296326899575614
5,"combatseq","C9,D12,C8,C11,C4",0.100496524575341,0.00869434212078187,0.725033020892722,0.668313278429297,0.897131853653593,0.967535661583866,0.593854850742946,0.29062906316108,0.831923753917486,-0.0918021824545596,-0.0567197424634248,-0.303225787581866
10,"shift","C9,D12,C8,C11,C4,D11,D15,C5,C13,D13",0.100496524575341,0.02498671019288,0.725033020892722,0.767644032851688,0.954456654456655,0.985111662531017,0.527475431222763,0.259428527662109,0.878048780487805,-0.0755098143824615,0.0426110119589662,-0.268046903560654
10,"ridge","C9,D12,C8,C11,C4,D11,D15,C5,C13,D13",0.100496524575341,0.0223208678553542,0.725033020892722,0.768872136398602,0.955748792270531,0.98609731876862,0.527475431222763,0.262127015055042,0.878048780487805,-0.0781756567199872,0.0438391155058795,-0.265348416167721
10,"combat","C9,D12,C8,C11,C4,D11,D15,C5,C13,D13",0.100496524575341,0.0218018233593065,0.725033020892722,0.769110579600026,0.955748792270531,0.98609731876862,0.527475431222763,0.259996618128987,0.878048780487805,-0.0786947012160349,0.0440775587073037,-0.267478813093775
10,"combatseq","C9,D12,C8,C11,C4,D11,D15,C5,C13,D13",0.100496524575341,0.00754969837369672,0.725033020892722,0.692383798528163,0.912716269238008,0.975308641975309,0.527475431222763,0.250647729637283,0.831923753917486,-0.0929468262016447,-0.032649222364559,-0.276827701585479
