"Metric","BEFORE","shift","ridge","combat"
"rmse_replicates",0.593854850742946,0.288965213162924,1.1667618628314,0.297527951167332
"pvca_batch_variance",0.735854054904497,0.729798882212341,0.430713966030573,0.724956193847029
"pvca_batch_variance_delta",NA,-0.00605517269215605,-0.305140088873924,-0.0108978610574682
"pvca_biology_variance",0.735854054904497,0.729798882212341,0.430713966030573,0.724956193847029
"pvca_biology_variance_delta",NA,-0.00605517269215605,-0.305140088873924,-0.0108978610574682
"knn_jaccard",NA,0.95,0.933333333333333,0.95
"hvg_overlap",NA,0.748251748251748,0.681378730559058,0.788109074653554
"adjusted_rand_index",NA,1,1,1
"cluster_compactness",0.313385175099185,0.318651760987654,0.466109655645181,0.321049880860855
"cluster_compactness_delta",NA,0.00526658588846851,0.152724480545996,0.0076647057616695
"cluster_separation",3.19096140933758,3.13822210459632,2.1454179030379,3.11478078521202
"cluster_separation_delta",NA,-0.0527393047412539,-1.04554350629968,-0.0761806241255543
"biology_f_stat_correlation",NA,0.738411087693246,0.567542771448011,0.795855987087169
"biology_eta_squared_correlation",NA,0.738411087693246,0.567542771448011,0.795855987087169
